source_id,ra,dec,parallax,parallax_error,b,ruwe,bp_rp,phot_bp_rp_excess_factor,pf,epoch_g,int_average_g,int_average_g_error
5072186300167425664,43.626197939821154,-28.400463374621694,0.4260767788583838,0.023835473,-62.81922542133247,1.6039059,0.54648876,1.1952518,0.6029402035693516,1713.6259514117905,12.596,0.010021225
5073412491854346880,47.805121138787165,-26.483062115639985,0.5049908505389694,0.023055555,-58.904386188351104,1.7196252,0.5526228,1.2680148,0.5972933928041824,1714.0646719035212,11.881172,0.013903907
2334529752915355520,358.8428016603571,-26.302012742031533,0.43746130950754436,0.019460466,-77.4588479621152,1.3095,0.6154957,1.2060041,0.7277781593249777,1664.861838879502,12.331478,0.0045052352
2336550174250087936,0.700691211547418,-24.945378451565585,1.2528825612908352,0.031659096,-78.86423624761798,1.2389874,0.6624813,1.1603104,0.49335200327871787,1667.8006967133856,10.192094,0.015089171
2344122716989296640,11.221196390559202,-24.71097711544586,0.2507091580976257,0.017441172,-87.16913621232851,1.2416322,0.6141529,1.1857426,0.5705740663534753,1677.6752795030143,13.371965,0.007561926
2350215317077431424,10.102712981142801,-21.576236233546815,0.28580701570825673,0.020874055,-83.90703153140879,1.4506184,0.63175964,1.1949697,0.5653585438015308,1678.1013918012368,13.298102,0.0062756496
2355353472352501760,19.605298361194162,-17.415740279444552,0.26799119453685377,0.020420205,-78.46070663226715,1.344687,0.6005974,1.1851523,0.6208781480289296,1689.236019012199,13.333347,0.003482169
2356303725277353216,14.299372121463485,-19.597509688169858,0.255639695351605,0.02034786,-82.35438921865195,1.4137203,0.555356,1.1574595,0.4805289391266271,1683.7009063699047,12.946484,0.013053623
4684197783783870080,6.066338313016841,-76.28197195840671,0.2529044090586621,0.011960917,-40.734148784292316,1.1742789,0.7217741,1.215242,0.5687551836506324,1700.7505299776094,13.500745,0.018410115
4684887796049649152,0.500954670646654,-76.55433900517242,0.2633158120449479,0.01108545,-40.21315487377601,0.8984542,0.71205425,1.2061151,0.8181175953324556,1700.0964516217857,13.126255,0.000730554
780156482623646080,162.57883967590766,42.56893907062176,0.3546797507714719,0.016577208,60.983693718369324,0.94791,0.6397257,1.1906221,0.6356597911217154,1751.0297193190231,12.739242,0.0016555857
785965756604829312,174.6118245918907,45.93489789009897,0.25431195262585365,0.01830474,66.27474433947293,1.390655,0.5792618,1.1946937,0.5346541306679551,1749.9875589223852,13.208446,0.0030266251
786705418699669632,179.27843618085282,48.40698895676545,0.2714287708721238,0.017030856,66.24926326485077,1.3387365,0.5959234,1.1944809,0.6811359340212598,1713.1985119385752,13.336246,0.0021055033
794754221766947200,146.44270491192722,34.490361200711895,0.38199080470680385,0.02175909,49.811167911087374,1.2716997,0.62217236,1.1931887,0.6556677513739717,1722.2295007120836,13.04211,0.0024637335
3201175430791113600,69.17004177798441,-4.670737346787173,0.40858791276234174,0.014132126,-31.94868568983256,1.03357,0.6763487,1.1966234,0.6305529994913918,1714.1409110389734,12.543624,0.001366296
3205151234774283904,69.51454518378456,-1.9959053892222836,0.31656106167493714,0.01801435,-30.317495458611383,1.2328445,0.60749817,1.1559935,0.5795680904203925,1713.9898825663588,12.947035,0.019719709
2528801431634737536,11.335938556192595,-4.3235887601418375,0.29531655452298067,0.020147543,-67.14900620702245,1.3548845,0.67213345,1.1938292,0.5666625431153677,1687.1780060781355,13.255919,0.004724078
1093345639583902592,126.10259414996979,65.71737874982055,0.8075972755833742,0.019095233,34.06109453552174,1.1932563,0.6917286,1.2273701,0.5990092390634152,1706.4971089475277,10.999915,0.0036283783
1094115263363633408,127.1300482380107,67.49642069405203,0.3542842633904739,0.01365143,34.14435772514815,1.2741145,0.67200756,1.1877668,0.6609034112449871,1706.0287209990006,12.598083,0.001997486
4702297875480363648,6.175979657129088,-69.82894215029759,0.7886354861556238,0.012627834,-47.12339977191687,0.89555126,0.6596756,1.2104356,0.7279598999302094,1700.887731745145,10.984799,0.0017252199
6792335923581803264,310.437120789797,-32.689220457390405,0.2973801076505669,0.021462886,-36.37231386790939,1.2788774,0.6369028,1.2066,0.5601116258977219,1718.4446989350515,13.512499,0.0070041227
6795546531894178816,313.22757463370266,-28.870074801222994,0.25712362810932654,0.019218694,-37.89216985706548,1.0638211,0.7816725,1.211672,0.6321539602650365,1720.4748117020883,13.789953,0.0053574494
6796138992564795264,307.5424275338261,-31.233553721731806,0.930045079143926,0.14403164,-33.65761198104693,0.9725216,2.2814999,1.4212021,0.6394042619042812,1718.10607607175,18.248995,0.005943144
6796320308904070016,305.78634440482506,-31.29521791940554,0.5187742282182162,0.02275239,-32.216213739298496,1.4827659,0.70033646,1.2246871,0.5444365330069147,1718.1910476254882,11.963065,0.030203493
4417888542753226112,232.75756436521334,1.6837805267319799,1.1746025863093772,0.021429852,44.09821460500612,1.2159287,0.6672573,1.1750664,0.7141111719974252,1710.2781956901313,9.9731455,0.0033641905
4421376120621796992,232.15148397831086,3.0897331913534907,0.4445059135688823,0.018615974,45.427538410631946,1.3839123,0.54297733,1.2392765,0.5267875852867434,1710.3561095419834,12.330089,0.03557422
